BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
10928,6012451,10928,Technic, Gear 8 Tooth Type 2,85,72,Dark Bluish Gray,Solid Colors,3,0.22
24121,6151167,24121,Technic, Gear Rack 11 x 11 Curved,3,14,Yellow,Solid Colors,8,8.45
2780,4121715,2780,Technic, Pin with Friction Ridges Lengthwise WITH Center Slots,11,0,Black,Solid Colors,143,0.16
32009,4495412,32009,Technic, Liftarm 1 x 11.5 Double Bent Thick,1,15,White,Solid Colors,19,3.46
32034,6271869,32034,Technic, Axle and Pin Connector Angled #2 - 180 degrees,11,0,Black,Solid Colors,4,0.68
32054,4140806,32054,Technic, Pin 3L with Friction Ridges Lengthwise and Stop Bush,5,4,Red,Solid Colors,4,0.33
32062,4142865,32062,Technic, Axle 2 Notched,5,4,Red,Solid Colors,3,0.26
32073,32073194,32073,Technic, Axle 5,86,71,Light Bluish Gray,Solid Colors,8,0.66
32138,4119589,32138,Technic, Pin Double with Axle Hole,11,0,Black,Solid Colors,6,0.96
32140,4141270,32140,Technic, Liftarm 2 x 4 L-Shape Thick,5,4,Red,Solid Colors,6,1.43
32140,4211610,32140,Technic, Liftarm 2 x 4 L-Shape Thick,86,71,Light Bluish Gray,Solid Colors,7,1.43
32184,4121667,32184,Technic, Axle and Pin Connector Perpendicular 3L with Center Pin Hole,11,0,Black,Solid Colors,9,0.64
32269,6093977,32269,Technic, Gear 20 Tooth Double Bevel,11,0,Black,Solid Colors,5,1.4
32270,4177431,32270,Technic, Gear 12 Tooth Double Bevel,11,0,Black,Solid Colors,4,0.58
32278,4542578,32278,Technic, Liftarm 1 x 15 Thick,1,15,White,Solid Colors,24,4.0
32316,4211651,32316,Technic, Liftarm 1 x 5 Thick,86,71,Light Bluish Gray,Solid Colors,7,1.21
32523,4211655,32523,Technic, Liftarm 1 x 3 Thick,86,71,Light Bluish Gray,Solid Colors,12,0.7
32523,4153718,32523,Technic, Liftarm 1 x 3 Thick,5,4,Red,Solid Colors,2,0.7
32524,4495930,32524,Technic, Liftarm 1 x 7 Thick,86,71,Light Bluish Gray,Solid Colors,10,1.74
32525,4611705,32525,Technic, Liftarm 1 x 11 Thick,86,71,Light Bluish Gray,Solid Colors,1,2.8
32526,4211713,32526,Technic, Liftarm 3 x 5 L-Shape Thick,86,71,Light Bluish Gray,Solid Colors,12,1.77
3648,6240162,3648,Technic, Gear 24 Tooth (New Style with Single Axle Hole),85,72,Dark Bluish Gray,Solid Colors,6,1.231
3649,6195314,3649,Technic, Gear 40 Tooth,86,71,Light Bluish Gray,Solid Colors,2,3.76
3705,370526,3705,Technic, Axle 4,11,0,Black,Solid Colors,5,0.6
3706,370626,3706,Technic, Axle 6,11,0,Black,Solid Colors,6,0.94
3713,6275844,3713,Technic Bush,86,71,Light Bluish Gray,Solid Colors,30,0.14
40490,6102449,40490,Technic, Liftarm 1 x 9 Thick,86,71,Light Bluish Gray,Solid Colors,1,2.59
41239,4522934,41239,Technic, Liftarm 1 x 13 Thick,86,71,Light Bluish Gray,Solid Colors,7,3.3
42003,6273715,42003,Technic, Axle and Pin Connector Perpendicular 3L with 2 Pin Holes,85,72,Dark Bluish Gray,Solid Colors,13,0.77
43093,4309323,43093,Technic, Axle Pin with Friction Ridges Lengthwise,7,1,Blue,Solid Colors,42,0.26
44294,44294194,44294,Technic, Axle 7,86,71,Light Bluish Gray,Solid Colors,1,1.05
4519,4211815,4519,Technic, Axle 3,86,71,Light Bluish Gray,Solid Colors,16,0.43
48989,4225033,48989,Technic, Pin Connector Perpendicular 3L with 4 Pins,86,71,Light Bluish Gray,Solid Colors,21,1.22
55013,4499858,55013,Technic, Axle 8 with Stop,85,72,Dark Bluish Gray,Solid Colors,4,1.18
60483,6265091,60483,Technic, Liftarm 1 x 2 Thick with Pin Hole and Axle Hole,11,0,Black,Solid Colors,2,0.46
60484,4552347,60484,Technic, Liftarm 3 x 3 T-Shape Thick,11,0,Black,Solid Colors,6,1.19
62462,6173127,62462,Technic, Pin Connector Round 2L with Slot (Pin Joiner Round),86,71,Light Bluish Gray,Solid Colors,2,0.42
64179,4539880,64179,Technic, Liftarm 5 x 7 Open Center Frame Thick,86,71,Light Bluish Gray,Solid Colors,11,5.3
64781,4540906,64781,Technic, Gear Rack 1 x 13 with Axle and Pin Holes,11,0,Black,Solid Colors,2,3.13
6536,4211775,6536,Technic, Axle and Pin Connector Perpendicular,86,71,Light Bluish Gray,Solid Colors,14,0.39
6558,4514553,6558,Technic, Pin 3L with Friction Ridges Lengthwise,7,1,Blue,Solid Colors,94,0.31
6587,6031821,6587,Technic, Axle 3 with Stud,69,28,Dark Tan,Solid Colors,5,0.48
87082,4560175,87082,Technic, Pin 3L with Friction Ridges Lengthwise and Center Pin Hole,86,71,Light Bluish Gray,Solid Colors,6,0.5
87083,6083620,87083,Technic, Axle 4 with Stop,85,72,Dark Bluish Gray,Solid Colors,3,0.59
95658,,95658,Electric, Motor - EV3, Large,86,71,Light Bluish Gray,Solid Colors,3,80.7
99008,4666999,99008,Technic, Axle 4 with Center Stop,2,19,Tan,Solid Colors,2,0.65
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
601,833.386,,,,,,,,
